Description|from_url|to_url|flags
No description|^(?i)churches/?$|https://info.classicalconversations.com/churchesandpastorappreciation| [R=301, L]|
No description|^(?i)cc101.html/?$|/| [R=301, L]|
No description|^(?i)cc-connected/guest/articles/349-creationsmodernbio.html/?$|/blog/| [R=301, L]|
No description|^(?i)registered/?$|https://classicalconversations.com/events?| [R=301, L]|
No description|^(?i)component/ccfilesharing/?$|https://classicalconversations.com/blog?| [R=301, L]|
No description|^(?i)iahe-start/?$|https://info.classicalconversations.com/iahe-start| [R=301, L]|
No description|^(?i)wy-enroll/?$|https://info.classicalconversations.com/kindergarten-through-college-credit-enroll-today-wy| [R=301, L]|
No description|^(?i)co-kids/?$|https://info.classicalconversations.com/co-kids-jan| [R=301, L]|
No description|^(?i)ghc-together/?$|https://info.classicalconversations.com/ghc-together| [R=301, L]|
No description|^(?i)pastor/?$|https://info.classicalconversations.com/churchesandpastorappreciation| [R=301, L]|
No description|^(?i)cc-sm-learn-more/?$|https://info.classicalconversations.com/cc-main-landing-page-2| [R=301, L]|
No description|^(?i)chap-together/?$|https://info.classicalconversations.com/chap-together| [R=301, L]|
No description|^(?i)directors/?$|https://info.classicalconversations.com/directing| [R=302, L]|
No description|^(?i)gocc/?$|https://info.classicalconversations.com/gocc| [R=301, L]|
No description|^(?i)ccema-review/?$|https://info.classicalconversations.com/ccema-review| [R=301, L]|
No description|^(?i)word-today/?$|https://info.classicalconversations.com/word-players-together| [R=301, L]|
No description|^(?i)okc-start/?$|https://info.classicalconversations.com/okc-knights-start| [R=301, L]|
No description|^(?i)tos-together/?$|https://info.classicalconversations.com/tos-together| [R=301, L]|
No description|^(?i)ghex-enroll/?$|https://info.classicalconversations.com/ghex-enroll| [R=301, L]|
No description|^(?i)challenge-a/?$|https://classicalconversations.com/programs/challenge/challenge-a/| [R=301, L]|
No description|^(?i)challenge-b/?$|https://classicalconversations.com/programs/challenge/challenge-b/| [R=301, L]|
No description|^(?i)academic-programs/9-foundations-programs.html/?$|https://classicalconversations.com/programs/foundations/| [R=301, L]|
No description|^(?i)academic-programs/essentials-program-4th-6th/?$|https://classicalconversations.com/programs/essentials/| [R=301, L]|
No description|^(?i)academic-programs/essentials.html/?$|https://classicalconversations.com/programs/essentials/| [R=301, L]|
No description|^(?i)academic-programs/foundations-program-k4-6th/?$|https://classicalconversations.com/programs/foundations/| [R=301, L]|
No description|^(?i)academic-programs/foundations.html/?$|https://classicalconversations.com/programs/foundations/| [R=301, L]|
No description|^(?i)cc101/9.html/?$|/| [R=301, L]|
No description|^(?i)ccconected/guest/articles.html/?$|/blog/| [R=301, L]|
No description|^(?i)ccconected/guest/articles/390-gettingorganizedgarlandsofhosannas.html/?$|/blog/| [R=301, L]|
No description|^(?i)CCPressRoom.html/?$|/| [R=301, L]|
No description|^(?i)Challenge.html/?$|/programs/challenge/| [R=301, L]|
